language,algorithm,data_size,runs,average_seconds,stdev_seconds,status,verified_sorted
Java,Shell Sort,10000,0.002214;0.002405;0.002283;0.002272;0.002468,0.002328,0.000105,OK,True
Java,Merge Sort,10000,0.003670;0.003430;0.003519;0.003212;0.003289,0.003424,0.000182,OK,True
Java,Quick Sort,10000,0.002257;0.002127;0.002114;0.002183;0.001951,0.002127,0.000113,OK,True
Java,Bucket Sort,10000,0.004865;0.004802;0.005071;0.004537;0.005154,0.004886,0.000243,OK,True
Java,Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Improved Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Selection Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Heap Sort,100000,0.033581;0.034190;0.036547;0.037009;0.034475,0.035161,0.001520,OK,True
Java,Insertion Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Shell Sort,100000,0.029115;0.032936;0.029741;0.031469;0.031592,0.030971,0.001537,OK,True
Java,Merge Sort,100000,0.040470;0.041549;0.041149;0.043852;0.039060,0.041216,0.001751,OK,True
Java,Quick Sort,100000,0.026899;0.024913;0.025566;0.026714;0.025168,0.025852,0.000904,OK,True
Java,Bucket Sort,100000,0.011647;0.012484;0.011179;0.011920;0.012957,0.012037,0.000698,OK,True
Java,Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Improved Bubble Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Selection Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Heap Sort,1000000,0.496513;0.428592;0.438888;0.442719;0.491888,0.459720,0.031939,OK,True
Java,Insertion Sort,1000000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
Java,Shell Sort,1000000,0.657782;0.657624;0.607057;0.586048;0.653107,0.632324,0.033541,OK,True
Java,Merge Sort,1000000,0.593726;0.585274;0.619825;0.589166;0.529720,0.583542,0.032984,OK,True
Java,Quick Sort,1000000,0.409787;0.377481;0.400195;0.417389;0.367180,0.394407,0.021366,OK,True
Java,Bucket Sort,1000000,0.098539;0.098398;0.105894;0.101175;0.106761,0.102154,0.003979,OK,True
Python,Bubble Sort,1000,0.047602;0.043818;0.046988;0.044263;0.045916,0.045717,0.001653,OK,True
Python,Improved Bubble Sort,1000,0.043659;0.043270;0.038325;0.040499;0.039535,0.041058,0.002332,OK,True
Python,Selection Sort,1000,0.028538;0.032345;0.031680;0.029819;0.032197,0.030916,0.001668,OK,True
Python,Heap Sort,1000,0.003025;0.002965;0.002765;0.002796;0.003184,0.002947,0.000172,OK,True
Python,Insertion Sort,1000,0.024486;0.023168;0.024231;0.023304;0.021705,0.023379,0.001096,OK,True
Python,Shell Sort,1000,0.001505;0.001551;0.001702;0.001676;0.001692,0.001625,0.000091,OK,True
Python,Merge Sort,1000,0.002234;0.002003;0.002016;0.001967;0.002194,0.002083,0.000122,OK,True
Python,Quick Sort,1000,0.001804;0.001675;0.001733;0.001606;0.001817,0.001727,0.000089,OK,True
Python,Bucket Sort,1000,0.026458;0.026905;0.026243;0.026526;0.023099,0.025846,0.001554,OK,True
Python,Bubble Sort,10000,4.358971;4.087229;4.489508;4.403102;4.444651,4.356692,0.158230,OK,True
Python,Improved Bubble Sort,10000,4.041422;3.706352;4.027023;3.608587;4.079255,3.892528,0.218179,OK,True
Python,Selection Sort,10000,1.924422;1.739173;1.912190;1.808440;1.763272,1.829499,0.084907,OK,True
Python,Heap Sort,10000,0.041890;0.038257;0.036951;0.038036;0.038901,0.038807,0.001861,OK,True
Python,Insertion Sort,10000,1.672108;1.698030;1.524163;1.615767;1.554639,1.612941,0.074212,OK,True
Python,Shell Sort,10000,0.022617;0.021122;0.022476;0.019708;0.022581,0.021700,0.001277,OK,True
Python,Merge Sort,10000,0.028457;0.032220;0.028874;0.028120;0.029686,0.029472,0.001644,OK,True
Python,Quick Sort,10000,0.022804;0.021344;0.022374;0.022040;0.021596,0.022032,0.000587,OK,True
Python,Bucket Sort,10000,0.035429;0.033626;0.036169;0.032209;0.037383,0.034963,0.002055,OK,True
Python,Bubble Sort,100000,,,,TIMEOUT_ESTIMATED_GT_10_MIN_OR_IMPRACTICAL,Not executed
